Latitude,Longitude,Date,solar_radiation_flux,SRFunit,Precipitation_Flux,PFUnit,Precipitation_Rain_Duration_Fraction,PRDFUnit,Precipitation
-0.448239,35.131806,2022-11-01,21665892,J m-2 d-1,4.940000057220459,mm d-1,0.5,1.0,2.4700000286102295
-0.448239,35.131806,2022-11-02,20361240,J m-2 d-1,3.75,mm d-1,0.5416666865348816,1.0,2.031250074505806
-0.448239,35.131806,2022-11-03,18670146,J m-2 d-1,13.010000228881836,mm d-1,0.75,1.0,9.757500171661377
-0.448239,35.131806,2022-11-04,16726035,J m-2 d-1,3.7799999713897705,mm d-1,0.7083333134651184,1.0,2.677499904632569
-0.448239,35.131806,2022-11-05,17634012,J m-2 d-1,9.359999656677246,mm d-1,0.6666666865348816,1.0,6.239999957084649
-0.448239,35.131806,2022-11-06,19547848,J m-2 d-1,4.059999942779541,mm d-1,0.4166666567325592,1.0,1.691666602492333
-0.448239,35.131806,2022-11-07,20121984,J m-2 d-1,9.600000381469727,mm d-1,0.625,1.0,6.000000238418579
-0.448239,35.131806,2022-11-08,21180390,J m-2 d-1,3.1500000953674316,mm d-1,0.2916666567325592,1.0,0.9187499965230614
-0.448239,35.131806,2022-11-09,23266578,J m-2 d-1,0.2800000011920929,mm d-1,0.2916666567325592,1.0,0.08166666423281033
-0.448239,35.131806,2022-11-10,17467312,J m-2 d-1,1.690000057220459,mm d-1,0.5,1.0,0.8450000286102295
-0.448239,35.131806,2022-11-11,18724432,J m-2 d-1,8.550000190734863,mm d-1,0.8333333134651184,1.0,7.124999989072478
-0.448239,35.131806,2022-11-12,17131054,J m-2 d-1,5.480000019073486,mm d-1,0.8333333134651184,1.0,4.56666657368342
-0.448239,35.131806,2022-11-13,15289557,J m-2 d-1,6.429999828338623,mm d-1,1,1.0,6.429999828338623
-0.448239,35.131806,2022-11-14,17476144,J m-2 d-1,11.75,mm d-1,0.9583333134651184,1.0,11.260416433215141
-0.448239,35.131806,2022-11-15,20940608,J m-2 d-1,11.489999771118164,mm d-1,0.9583333134651184,1.0,11.011249552369122
-0.448239,35.131806,2022-11-16,16505886,J m-2 d-1,15.850000381469727,mm d-1,1,1.0,15.850000381469727
-0.448239,35.131806,2022-11-17,12791630,J m-2 d-1,8.229999542236328,mm d-1,1,1.0,8.229999542236328
-0.448239,35.131806,2022-11-18,21222032,J m-2 d-1,0.36000001430511475,mm d-1,0.3333333432674408,1.0,0.12000000834465041
-0.448239,35.131806,2022-11-19,21789208,J m-2 d-1,0.8399999737739563,mm d-1,0.5416666865348816,1.0,0.45500000248352634
-0.448239,35.131806,2022-11-20,15668758,J m-2 d-1,5.510000228881836,mm d-1,0.75,1.0,4.132500171661377
-0.448239,35.131806,2022-11-21,21192688,J m-2 d-1,2.630000114440918,mm d-1,0.5833333134651184,1.0,1.5341666811704613
-0.448239,35.131806,2022-11-22,19215236,J m-2 d-1,6.800000190734863,mm d-1,0.9583333134651184,1.0,6.516666714350379
-0.448239,35.131806,2022-11-23,17954810,J m-2 d-1,33.43000030517578,mm d-1,0.8333333134651184,1.0,27.858332923452053
-0.448239,35.131806,2022-11-24,15119361,J m-2 d-1,4.679999828338623,mm d-1,0.8333333134651184,1.0,3.89999976396561
-0.448239,35.131806,2022-11-25,20808164,J m-2 d-1,0.10000000149011612,mm d-1,0.125,1.0,0.012500000186264515
-0.448239,35.131806,2022-11-26,21492244,J m-2 d-1,0.23000000417232513,mm d-1,0.0833333358168602,1.0,0.019166667585571617
-0.448239,35.131806,2022-11-27,21307316,J m-2 d-1,0.7400000095367432,mm d-1,0.6666666865348816,1.0,0.49333335439364134
-0.448239,35.131806,2022-11-28,20189256,J m-2 d-1,6.039999961853027,mm d-1,0.8333333134651184,1.0,5.033333181540172
-0.448239,35.131806,2022-11-29,21392668,J m-2 d-1,8.319999694824219,mm d-1,0.5833333134651184,1.0,4.8533329900105855
-0.448239,35.131806,2022-11-30,22290496,J m-2 d-1,1.5499999523162842,mm d-1,0.2916666567325592,1.0,0.4520833040277168
